destination_id,destination_name,week,year,reservations
-1044367,Kiev (UA),5,2019,3957
-1044367,Kiev (UA),6,2019,4528
-1044367,Kiev (UA),7,2019,4351
-1044367,Kiev (UA),8,2019,4630
-1044367,Kiev (UA),9,2019,4424
-1044367,Kiev (UA),10,2019,5101
-1044367,Kiev (UA),11,2019,5252
-1044367,Kiev (UA),12,2019,4802
-1044367,Kiev (UA),13,2019,5434
-1044367,Kiev (UA),14,2019,5435
-1044367,Kiev (UA),15,2019,4564
-1044367,Kiev (UA),16,2019,4827
-1044367,Kiev (UA),17,2019,5046
-1044367,Kiev (UA),18,2019,5392
-1044367,Kiev (UA),19,2019,5735
-1044367,Kiev (UA),20,2019,5345
-1044367,Kiev (UA),21,2019,6229
-1044367,Kiev (UA),22,2019,6658
-1044367,Kiev (UA),23,2019,5879
-1044367,Kiev (UA),24,2019,5125
-1044367,Kiev (UA),25,2019,5024
-1044367,Kiev (UA),26,2019,6346
-1044367,Kiev (UA),27,2019,5399
-1044367,Kiev (UA),28,2019,5273
-1044367,Kiev (UA),29,2019,5354
-1044367,Kiev (UA),30,2019,5794
-1044367,Kiev (UA),31,2019,6472
-1044367,Kiev (UA),32,2019,6060
-1044367,Kiev (UA),33,2019,5812
-1044367,Kiev (UA),34,2019,4904
-1044367,Kiev (UA),35,2019,6079
-1044367,Kiev (UA),36,2019,5785
-1044367,Kiev (UA),37,2019,5464
-1044367,Kiev (UA),38,2019,5443
-1044367,Kiev (UA),39,2019,5674
-1044367,Kiev (UA),40,2019,5411
-1044367,Kiev (UA),41,2019,4519
-1044367,Kiev (UA),42,2019,4372
-1044367,Kiev (UA),43,2019,4146
-1044367,Kiev (UA),44,2019,4384
-1044367,Kiev (UA),45,2019,4354
-1044367,Kiev (UA),46,2019,4140
-1044367,Kiev (UA),47,2019,4365
-1044367,Kiev (UA),48,2019,6609
-1044367,Kiev (UA),49,2019,2426
-1044367,Kiev (UA),50,2019,3548
-1044367,Kiev (UA),51,2019,2924
-1044367,Kiev (UA),52,2019,2883
-1044367,Kiev (UA),1,2020,3423
-1044367,Kiev (UA),2,2020,4075
-1044367,Kiev (UA),3,2020,3950
-1044367,Kiev (UA),4,2020,3723
-1044367,Kiev (UA),5,2020,3772
-1044367,Kiev (UA),6,2020,3559
-1044367,Kiev (UA),7,2020,3514
-1044367,Kiev (UA),8,2020,2970
-1044367,Kiev (UA),9,2020,2034
-1044367,Kiev (UA),10,2020,1287
-1044367,Kiev (UA),11,2020,466
-1044367,Kiev (UA),12,2020,425
-1044367,Kiev (UA),13,2020,485
-1044367,Kiev (UA),14,2020,430
-1044367,Kiev (UA),15,2020,473
-1044367,Kiev (UA),16,2020,834
-1044367,Kiev (UA),17,2020,413
-1044367,Kiev (UA),18,2020,614
-1044367,Kiev (UA),19,2020,457
-1044367,Kiev (UA),20,2020,922
-1044367,Kiev (UA),21,2020,1731
-1044367,Kiev (UA),22,2020,1452
-1044367,Kiev (UA),23,2020,924
-1044367,Kiev (UA),24,2020,1032
-1044367,Kiev (UA),25,2020,1854
-1044367,Kiev (UA),26,2020,1876
-1044367,Kiev (UA),27,2020,3557
-1044367,Kiev (UA),28,2020,3977
-1044367,Kiev (UA),29,2020,2289
-1044367,Kiev (UA),30,2020,1626
-1044367,Kiev (UA),31,2020,2417
-1044367,Kiev (UA),32,2020,2382
-1044367,Kiev (UA),33,2020,2552
-1044367,Kiev (UA),34,2020,1948
-1044367,Kiev (UA),35,2020,1820
-1044367,Kiev (UA),36,2020,1804
-1044367,Kiev (UA),37,2020,1815
-1044367,Kiev (UA),38,2020,2623
-1044367,Kiev (UA),39,2020,1858
-1044367,Kiev (UA),40,2020,3217
-1044367,Kiev (UA),41,2020,2617
-1044367,Kiev (UA),42,2020,2859
-1044367,Kiev (UA),43,2020,2636
-1044367,Kiev (UA),44,2020,2597
-1044367,Kiev (UA),45,2020,1858
-1044367,Kiev (UA),46,2020,2017
-1044367,Kiev (UA),47,2020,2306
-1044367,Kiev (UA),48,2020,2036
-1044367,Kiev (UA),49,2020,2259
